date	phot_tot	phos_storm	QGW_slide	QGW_locmin
03/07/1992	    8.14	    8.14	    7.52	    8.14
03/08/1992	    7.52	    6.29	    7.52	    7.52
03/09/1992	   38.00	    6.29	    6.29	    6.93
03/10/1992	    6.29	    6.29	    5.67	    6.29
03/11/1992	    5.67	    4.58	    5.10	    5.67
03/12/1992	    5.10	    4.58	    4.58	    5.10
03/13/1992	    4.58	    4.58	    4.30	    4.58
03/14/1992	    4.30	    3.36	    3.75	    4.30
03/15/1992	    3.75	    3.36	    3.36	    3.75
03/16/1992	    3.36	    3.36	    3.15	    3.36
03/17/1992	    3.15	    2.87	    3.04	    3.15
03/18/1992	    3.04	    2.87	    2.87	    3.04
03/19/1992	    2.87	    2.87	    2.70	    2.87
03/20/1992	    2.70	    2.61	    2.61	    2.70
03/21/1992	    2.61	    2.61	    2.61	    2.61
03/22/1992	    2.94	    2.61	    2.61	    2.50
03/23/1992	    2.95	    2.42	    2.78	    2.40
03/24/1992	    2.78	    2.42	    2.42	    2.30
03/25/1992	    2.42	    2.42	    2.20	    2.20
03/26/1992	    2.20	    1.94	    2.06	    2.11
03/27/1992	    2.06	    1.94	    1.94	    2.02
03/28/1992	    1.94	    1.94	    1.94	    1.94
03/29/1992	    2.09	    1.93	    1.94	    1.86
03/30/1992	    2.07	    1.93	    1.93	    1.78
03/31/1992	    1.93	    1.93	    1.79	    1.71
04/01/1992	    1.79	    1.51	    1.63	    1.64
04/02/1992	    1.63	    1.51	    1.51	    1.57
04/03/1992	    1.51	    1.51	    1.51	    1.51
04/04/1992	    1.53	    1.30	    1.40	    1.44
04/05/1992	    1.40	    1.30	    1.30	    1.37
04/06/1992	    1.30	    1.30	    1.30	    1.30
04/07/1992	    1.34	    1.27	    1.27	    1.28
04/08/1992	    1.27	    1.27	    1.27	    1.27
04/09/1992	    1.43	    1.27	    1.27	    1.23
04/10/1992	    1.38	    1.14	    1.32	    1.19
04/11/1992	    1.32	    1.14	    1.14	    1.15
04/12/1992	    1.14	    1.14	    1.07	    1.11
04/13/1992	    1.07	    1.07	    1.07	    1.07
04/14/1992	    1.40	    1.07	    1.07	    1.38
04/15/1992	    6.20	    1.07	    1.40	    1.78
04/16/1992	   24.00	    3.80	    5.00	    2.29
04/17/1992	    5.00	    3.80	    3.80	    2.95
04/18/1992	    3.80	    3.80	    3.80	    3.80
04/19/1992	   19.00	   19.00	    3.80	    3.77
04/20/1992	  261.28	   19.00	   19.00	    3.74
04/21/1992	  114.08	   19.00	   21.01	    3.71
04/22/1992	   21.01	   11.94	   12.55	    3.69
04/23/1992	   12.55	   11.94	   11.94	    3.66
04/24/1992	   11.94	   11.94	   10.93	    3.63
04/25/1992	   10.93	    9.67	   10.33	    3.60
04/26/1992	   10.33	    9.67	    9.67	    3.58
04/27/1992	    9.67	    9.67	    9.00	    3.55
04/28/1992	    9.00	    8.46	    8.90	    3.52
04/29/1992	    8.90	    8.46	    8.46	    3.50
04/30/1992	    8.46	    8.46	    7.74	    3.47
05/01/1992	    7.74	    6.03	    7.02	    3.44
05/02/1992	    7.02	    6.03	    6.03	    3.42
05/03/1992	    6.03	    6.03	    5.62	    3.39
05/04/1992	    5.62	    5.04	    5.42	    3.37
05/05/1992	    5.42	    5.04	    5.04	    3.34
05/06/1992	    5.04	    5.04	    4.58	    3.32
05/07/1992	    4.58	    4.06	    4.36	    3.29
05/08/1992	    4.36	    4.06	    4.06	    3.27
05/09/1992	    4.06	    4.06	    3.89	    3.24
05/10/1992	    3.89	    3.76	    3.85	    3.22
05/11/1992	    3.85	    3.76	    3.76	    3.19
05/12/1992	    3.76	    3.76	    3.42	    3.17
05/13/1992	    3.42	    3.12	    3.12	    3.14
05/14/1992	    3.12	    3.12	    3.12	    3.12
05/15/1992	    3.17	    3.12	    2.88	    3.00
05/16/1992	    2.88	    2.88	    2.88	    2.88
05/17/1992	    4.70	    2.88	    2.88	    2.68
05/18/1992	    2.97	    2.88	    2.43	    2.49
05/19/1992	    2.43	    2.16	    2.16	    2.32
05/20/1992	    2.16	    2.16	    2.16	    2.16
05/21/1992	    2.27	    2.16	    2.16	    2.09
05/22/1992	    2.35	    1.94	    2.27	    2.03
05/23/1992	    2.32	    1.94	    1.94	    1.96
05/24/1992	    1.94	    1.94	    1.84	    1.90
05/25/1992	    1.84	    1.81	    1.84	    1.84
05/26/1992	    1.89	    1.81	    1.81	    1.80
05/27/1992	    1.81	    1.81	    1.69	    1.75
05/28/1992	    1.69	    1.65	    1.67	    1.69
05/29/1992	    1.67	    1.65	    1.65	    1.67
05/30/1992	    1.65	    1.65	    1.59	    1.63
05/31/1992	    1.59	    1.59	    1.59	    1.59
06/01/1992	    1.59	    1.59	    1.59	    1.59
06/02/1992	    1.67	    1.59	    1.59	    1.64
06/03/1992	    1.75	    1.75	    1.67	    1.70
06/04/1992	    1.82	    1.75	    1.75	    1.76
06/05/1992	    2.01	    1.75	    1.82	    1.82
06/06/1992	    2.17	    2.01	    2.01	    1.88
06/07/1992	    2.24	    2.01	    2.01	    1.94
06/08/1992	    2.01	    2.01	    2.01	    2.01
06/09/1992	    2.12	    2.12	    2.01	    2.04
06/10/1992	    2.29	    2.12	    2.12	    2.07
06/11/1992	    2.37	    2.12	    2.29	    2.10
06/12/1992	    2.31	    2.17	    2.17	    2.14
06/13/1992	    2.17	    2.17	    2.17	    2.17
06/14/1992	    2.24	    2.17	    2.17	    2.18
06/15/1992	    2.19	    2.19	    2.19	    2.19
06/16/1992	    4.10	    2.19	    2.19	    2.32
06/17/1992	    2.69	    2.19	    2.60	    2.46
06/18/1992	    2.60	    2.60	    2.60	    2.60
06/19/1992	    2.61	    2.60	    2.60	    2.61
06/20/1992	    2.92	    2.60	    2.61	    2.82
06/21/1992	    2.95	    2.95	    2.92	    2.94
06/22/1992	    2.99	    2.95	    2.95	    2.99
06/23/1992	    3.39	    2.95	    2.99	    3.19
06/24/1992	    3.97	    3.77	    3.39	    3.32
06/25/1992	    3.93	    3.77	    3.77	    3.46
06/26/1992	    3.77	    3.77	    3.76	    3.61
06/27/1992	    3.76	    3.76	    3.76	    3.76
06/28/1992	    3.77	    3.76	    3.76	    3.77
06/29/1992	    4.02	    3.76	    3.77	    3.91
06/30/1992	    3.99	    3.99	    3.99	    3.99
07/01/1992	    4.10	    3.99	    3.99	    4.01
07/02/1992	    6.60	    3.99	    4.10	    4.03
07/03/1992	    4.70	    4.15	    4.29	    4.05
07/04/1992	    4.29	    4.15	    4.15	    4.07
07/05/1992	    4.15	    4.15	    4.11	    4.09
07/06/1992	    4.11	    4.11	    4.11	    4.11
07/07/1992	    7.07	    4.11	    4.11	    4.15
07/08/1992	    8.41	    4.11	    5.72	    4.18
07/09/1992	    5.72	    4.30	    5.01	    4.22
07/10/1992	    5.01	    4.30	    4.30	    4.26
07/11/1992	    4.30	    4.30	    4.30	    4.30
07/12/1992	   10.27	   10.27	    4.30	    4.33
07/13/1992	   19.09	   10.27	   10.27	    4.36
07/14/1992	   15.35	   10.27	    8.76	    4.40
07/15/1992	    8.76	    6.09	    6.80	    4.43
07/16/1992	    6.80	    6.09	    6.09	    4.46
07/17/1992	    6.09	    6.09	    5.41	    4.50
07/18/1992	    5.41	    5.13	    5.26	    4.53
07/19/1992	    5.26	    5.13	    5.13	    4.56
07/20/1992	    5.13	    5.13	    4.63	    4.60
07/21/1992	    4.63	    4.63	    4.63	    4.63
07/22/1992	    5.29	    4.63	    4.63	    4.93
07/23/1992	    5.91	    4.63	    5.29	    5.24
07/24/1992	    5.58	    5.58	    5.58	    5.58
07/25/1992	    6.27	    5.58	    5.58	    5.28
07/26/1992	    6.06	    5.58	    5.24	    5.00
07/27/1992	    5.24	    4.25	    4.46	    4.74
07/28/1992	    4.46	    4.25	    4.25	    4.46
07/29/1992	    4.25	    4.25	    4.25	    4.25
07/30/1992	    7.42	    5.68	    4.25	    4.13
07/31/1992	    9.19	    5.68	    5.68	    4.01
08/01/1992	    5.68	    5.68	    4.46	    3.90
08/02/1992	    4.46	    3.95	    4.09	    3.78
08/03/1992	    4.09	    3.95	    3.95	    3.68
08/04/1992	    3.95	    3.95	    3.57	    3.57
08/05/1992	    3.57	    3.37	    3.37	    3.47
08/06/1992	    3.37	    3.37	    3.37	    3.37
08/07/1992	    5.39	    3.37	    3.37	    3.24
08/08/1992	    5.40	    4.11	    4.37	    3.12
08/09/1992	    4.37	    4.11	    4.11	    3.01
08/10/1992	    4.11	    4.11	    3.22	    2.90
08/11/1992	    3.22	    2.92	    3.09	    2.79
08/12/1992	    3.09	    2.92	    2.92	    2.68
08/13/1992	    2.92	    2.92	    2.67	    2.58
08/14/1992	    2.67	    2.33	    2.48	    2.49
08/15/1992	    2.48	    2.33	    2.33	    2.40
08/16/1992	    2.33	    2.33	    2.22	    2.31
08/17/1992	    2.22	    2.15	    2.22	    2.22
08/18/1992	    2.22	    2.15	    2.15	    2.15
08/19/1992	    2.15	    2.15	    2.06	    2.08
08/20/1992	    2.06	    1.89	    1.96	    2.02
08/21/1992	    1.96	    1.89	    1.89	    1.95
08/22/1992	    1.89	    1.89	    1.89	    1.89
08/23/1992	    1.90	    1.90	    1.89	    1.87
08/24/1992	    1.95	    1.90	    1.90	    1.84
08/25/1992	    2.08	    1.90	    1.95	    1.82
08/26/1992	    2.33	    1.99	    2.08	    1.80
08/27/1992	    2.20	    1.99	    1.99	    1.78
08/28/1992	    1.99	    1.99	    1.90	    1.75
08/29/1992	    1.90	    1.69	    1.82	    1.73
08/30/1992	    1.82	    1.69	    1.69	    1.71
08/31/1992	    1.69	    1.69	    1.69	    1.69
09/01/1992	    1.70	    1.70	    1.69	    1.70
09/02/1992	    1.87	    1.70	    1.70	    1.72
09/03/1992	    1.89	    1.70	    1.76	    1.74
09/04/1992	    1.76	    1.76	    1.76	    1.76
09/05/1992	    1.76	    1.76	    1.76	    1.76
09/06/1992	    5.70	    1.76	    1.76	    2.94
09/07/1992	    4.90	    4.90	    4.90	    4.90
09/08/1992	    7.50	    4.90	    4.90	    4.69
09/09/1992	    9.50	    4.90	    6.00	    4.49
09/10/1992	    6.00	    4.04	    5.44	    4.30
09/11/1992	    5.44	    4.04	    4.04	    4.11
09/12/1992	    4.04	    4.04	    3.77	    3.94
09/13/1992	    3.77	    3.77	    3.77	    3.77
09/14/1992	    4.50	    3.77	    3.77	    4.07
09/15/1992	    6.19	    3.77	    4.50	    4.39
09/16/1992	    5.84	    5.11	    5.11	    4.74
09/17/1992	    5.11	    5.11	    5.11	    5.11
09/18/1992	    7.11	    5.11	    5.11	    4.05
09/19/1992	    5.49	    4.14	    4.74	    3.21
09/20/1992	    4.74	    4.14	    4.14	    2.55
09/21/1992	    4.14	    4.14	    2.55	    2.02
09/22/1992	    2.55	    0.87	    1.45	    1.60
09/23/1992	    1.45	    0.87	    0.87	    1.27
09/24/1992	    0.87	    0.87	    0.56	    0.87
09/25/1992	    0.56	    0.40	    0.42	    0.56
09/26/1992	    0.42	    0.40	    0.40	    0.42
09/27/1992	    0.40	    0.40	    0.35	    0.40
09/28/1992	    0.35	    0.25	    0.26	    0.35
09/29/1992	    0.26	    0.25	    0.25	    0.26
09/30/1992	    0.25	    0.25	    0.25	    0.25
10/01/1992	    1.91	    1.91	    0.25	    0.33
10/02/1992	    1.93	    1.91	    1.91	    0.43
10/03/1992	    2.01	    1.91	    1.93	    0.57
10/04/1992	    1.95	    1.75	    1.83	    0.75
10/05/1992	    1.83	    1.75	    1.75	    0.98
10/06/1992	    1.75	    1.75	    1.70	    1.29
10/07/1992	    1.70	    1.70	    1.70	    1.70
10/08/1992	    1.93	    1.70	    1.70	    1.65
10/09/1992	    1.96	    1.70	    1.86	    1.60
10/10/1992	    1.86	    1.44	    1.57	    1.55
10/11/1992	    1.57	    1.44	    1.44	    1.50
10/12/1992	    1.44	    1.44	    1.41	    1.44
10/13/1992	    1.41	    1.41	    1.41	    1.41
10/14/1992	    1.44	    1.41	    1.41	    1.42
10/15/1992	    1.56	    1.41	    1.44	    1.43
10/16/1992	    1.68	    1.55	    1.56	    1.44
10/17/1992	    1.63	    1.55	    1.55	    1.46
10/18/1992	    1.55	    1.55	    1.48	    1.47
10/19/1992	    1.48	    1.48	    1.48	    1.48
10/20/1992	    1.78	    1.48	    1.48	    1.56
10/21/1992	    1.84	    1.48	    1.78	    1.64
10/22/1992	    1.82	    1.81	    1.81	    1.72
10/23/1992	    1.81	    1.81	    1.81	    1.81
10/24/1992	    1.83	    1.81	    1.81	    1.80
10/25/1992	    1.86	    1.75	    1.81	    1.79
10/26/1992	    1.81	    1.75	    1.75	    1.78
10/27/1992	    1.75	    1.75	    1.75	    1.75
10/28/1992	    1.75	    1.75	    1.75	    1.75
10/29/1992	    1.79	    1.75	    1.75	    1.73
10/30/1992	    1.83	    1.75	    1.79	    1.71
10/31/1992	    1.89	    1.89	    1.83	    1.69
11/01/1992	    3.20	    1.89	    1.89	    1.67
11/02/1992	   21.26	    1.89	    3.20	    1.65
11/03/1992	   13.76	    3.10	    3.92	    1.63
11/04/1992	    3.92	    3.10	    3.10	    1.61
11/05/1992	    3.10	    3.10	    2.81	    1.59
11/06/1992	    2.81	    2.27	    2.46	    1.57
11/07/1992	    2.46	    2.27	    2.27	    1.55
11/08/1992	    2.27	    2.27	    2.12	    1.53
11/09/1992	    2.12	    1.96	    2.04	    1.51
11/10/1992	    2.04	    1.96	    1.96	    1.49
11/11/1992	    1.96	    1.96	    1.88	    1.47
11/12/1992	    1.88	    1.75	    1.80	    1.46
11/13/1992	    1.80	    1.75	    1.75	    1.44
11/14/1992	    1.75	    1.75	    1.55	    1.42
11/15/1992	    1.55	    1.41	    1.46	    1.40
11/16/1992	    1.46	    1.41	    1.41	    1.39
11/17/1992	    1.41	    1.41	    1.35	    1.37
11/18/1992	    1.35	    1.35	    1.35	    1.35
11/19/1992	    1.86	    1.35	    1.35	    1.86
11/20/1992	   96.05	    1.35	    1.86	    6.97
11/21/1992	  200.30	   35.89	   35.89	   15.81
11/22/1992	   35.89	   35.89	   35.89	   35.89
11/23/1992	   39.47	   35.89	   30.51	   31.84
11/24/1992	   30.51	   24.54	   26.16	   28.25
11/25/1992	   26.16	   24.54	   24.54	   25.07
11/26/1992	   24.54	   24.54	   22.27	   22.24
11/27/1992	   22.27	   16.70	   18.83	   19.73
11/28/1992	   18.83	   16.70	   16.70	   17.51
11/29/1992	   16.70	   16.70	   14.98	   15.54
11/30/1992	   14.98	   12.54	   13.36	   13.78
12/01/1992	   13.36	   12.54	   12.54	   12.23
12/02/1992	   12.54	   12.54	   10.73	   10.85
12/03/1992	   10.73	    7.58	    8.64	    9.63
12/04/1992	    8.64	    7.58	    7.58	    8.54
12/05/1992	    7.58	    7.58	    7.58	    7.58
12/06/1992	    7.63	    6.96	    7.58	    7.12
12/07/1992	    7.89	    6.96	    6.96	    6.69
12/08/1992	    6.96	    6.96	    6.33	    6.29
12/09/1992	    6.33	    5.22	    5.75	    5.91
12/10/1992	    5.75	    5.22	    5.22	    5.55
12/11/1992	    5.22	    5.22	    4.90	    5.22
12/12/1992	    4.90	    4.33	    4.61	    4.90
12/13/1992	    4.61	    4.33	    4.33	    4.61
12/14/1992	    4.33	    4.33	    4.33	    4.33
12/15/1992	   27.03	   25.36	    4.33	    4.53
12/16/1992	  186.88	   25.36	   25.36	    4.74
12/17/1992	   25.36	   25.36	   17.11	    4.97
12/18/1992	   17.11	   12.45	   14.92	    5.20
12/19/1992	   14.92	   12.45	   12.45	    5.44
12/20/1992	   12.45	   12.45	   10.66	    5.70
12/21/1992	   10.66	    8.71	    9.24	    5.96
12/22/1992	    9.24	    8.71	    8.71	    6.24
12/23/1992	    8.71	    8.71	    7.93	    6.53
12/24/1992	    7.93	    7.49	    7.71	    6.84
12/25/1992	    7.71	    7.49	    7.49	    7.16
12/26/1992	    7.49	    7.49	    7.49	    7.49
12/27/1992	    7.53	    7.53	    7.49	    7.28
12/28/1992	    7.79	    7.53	    7.53	    7.08
12/29/1992	    7.57	    7.53	    7.35	    6.88
12/30/1992	    7.35	    6.74	    7.15	    6.69
12/31/1992	    7.15	    6.74	    6.74	    6.50
01/01/1993	    6.74	    6.74	    6.14	    6.32
01/02/1993	    6.14	    6.14	    6.14	    6.14
01/03/1993	    6.36	    6.14	    6.14	    5.94
01/04/1993	    6.18	    6.14	    5.82	    5.75
01/05/1993	    5.82	    5.32	    5.48	    5.56
01/06/1993	    5.48	    5.32	    5.32	    5.38
01/07/1993	    5.32	    5.32	    5.17	    5.21
01/08/1993	    5.17	    4.72	    4.86	    5.04
01/09/1993	    4.86	    4.72	    4.72	    4.86
01/10/1993	    4.72	    4.72	    4.72	    4.72
01/11/1993	    4.75	    4.75	    4.72	    4.57
01/12/1993	    4.92	    4.75	    4.75	    4.43
01/13/1993	    4.93	    4.75	    4.65	    4.29
01/14/1993	    4.65	    4.12	    4.38	    4.15
01/15/1993	    4.38	    4.12	    4.12	    4.02
01/16/1993	    4.12	    4.12	    4.00	    3.89
01/17/1993	    4.00	    3.53	    3.63	    3.76
01/18/1993	    3.63	    3.53	    3.53	    3.63
01/19/1993	    3.53	    3.53	    3.53	    3.53
01/20/1993	    4.04	    4.04	    3.53	    3.52
01/21/1993	    4.29	    4.04	    4.04	    3.50
01/22/1993	    4.63	    4.04	    4.05	    3.49
01/23/1993	    4.05	    3.53	    3.62	    3.48
01/24/1993	    3.62	    3.53	    3.53	    3.47
01/25/1993	    3.53	    3.53	    3.44	    3.45
01/26/1993	    3.44	    3.44	    3.44	    3.44
01/27/1993	    3.47	    3.44	    3.44	    3.39
01/28/1993	    3.50	    3.44	    3.30	    3.35
01/29/1993	    3.30	    3.30	    3.30	    3.30
01/30/1993	    3.32	    3.30	    3.30	    3.30
01/31/1993	    3.47	    3.30	    3.32	    3.29
02/01/1993	    4.20	    3.29	    3.47	    3.29
02/02/1993	    3.47	    3.29	    3.29	    3.29
02/03/1993	    3.29	    3.29	    3.29	    3.29
02/04/1993	    3.67	    3.67	    3.29	    3.28
02/05/1993	    4.18	    3.67	    3.67	    3.27
02/06/1993	    3.76	    3.67	    3.33	    3.26
02/07/1993	    3.33	    3.25	    3.25	    3.25
02/08/1993	    3.25	    3.25	    3.25	    3.25
02/09/1993	    3.29	    3.25	    3.25	    3.29
02/10/1993	    3.57	    3.40	    3.29	    3.32
02/11/1993	    3.86	    3.40	    3.40	    3.36
02/12/1993	    3.40	    3.40	    3.40	    3.40
02/13/1993	    3.45	    3.45	    3.40	    3.36
02/14/1993	    3.49	    3.45	    3.45	    3.32
02/15/1993	    3.52	    3.45	    3.29	    3.27
02/16/1993	    3.29	    3.19	    3.19	    3.23
02/17/1993	    3.19	    3.19	    3.19	    3.19
02/18/1993	    3.35	    3.19	    3.19	    3.24
02/19/1993	    3.52	    3.52	    3.35	    3.30
02/20/1993	    3.56	    3.52	    3.52	    3.35
02/21/1993	    3.59	    3.52	    3.56	    3.41
02/22/1993	    3.62	    3.52	    3.52	    3.46
02/23/1993	    3.52	    3.52	    3.52	    3.52
02/24/1993	    3.55	    3.52	    3.52	    3.55
02/25/1993	    3.59	    3.59	    3.55	    3.59
02/26/1993	    3.62	    3.59	    3.59	    3.62
02/27/1993	    3.66	    3.59	    3.62	    3.66
